회사명,종목코드,업종,상장일,지역,영문 종목명,시장구분,상장주식수,ESG등급,환경,사회,지배구조,등락률,거래량_x,거래대금_x,온실가스 배출량(tCO2-eq),에너지 사용량(TJ),corp_code,stock_name,corp_cls,induty_code,est_dt,2021년 NCSI,자산총계,자본금,자본총계,매출액,영업이익,순이익,종가,시가총액,거래량_y,거래대금_y,통근버스운행,본인학자금,복지카드,업무활동비,자격증수당,위험수당,사대보험,워크샵,신입사원교육,직무향상교육,리더십교육,해외연수지원,도서비지원,외국어교육지원,자격증취득지원,총개수,기준가&종가 평균,업종 대분류,온실가스/매출액
모아데이타,288980,소프트웨어 개발 및 공급업,2022-03-10,경기도,"Moadata Co., Ltd",KOSDAQ,5361,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,정보 통신 소프트웨어 및 공학연구,
에스케이증권7호스팩,408920,금융 지원 서비스업,2022-03-07,서울특별시,SK Securities ACPC No.7 Special Purpose Acquisition Company,KOSDAQ,3620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금융,
노을,376930,의료용 기기 제조업,2022-03-03,경기도,"Noul Co., Ltd.",KOSDAQ,10425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,의료기기 의약품 제조업,
비씨엔씨,146320,반도체 제조업,2022-03-03,경기도,"BCnC Co., Ltd.",KOSDAQ,12368,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,전자부품 및 반도체 제조,
풍원정밀,371950,전자부품 제조업,2022-02-28,경기도,"POONGWON PRECISION Co.,Ltd.",KOSDAQ,21040,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,,전자부품 및 반도체 제조,
스톤브릿지벤처스,330730,기타 금융업,2022-02-25,서울특별시,"Stonebridge Ventures, Inc.",KOSDAQ,17879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금융,
하나금융21호스팩,406760,금융 지원 서비스업,2022-02-25,서울특별시,Hana Financial Twenty-one SPAC,KOSDAQ,7410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금융,
브이씨,365900,운동 및 경기용구 제조업,2022-02-24,서울특별시,VC Inc.,KOSDAQ,6988,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,6,,기타 제조업,
퓨런티어,370090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2022-02-23,경기도,Furonteer Inc.,KOSDAQ,7966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타 제조업,
바이오에프디엔씨,251120,기초 의약물질 및 생물학적 제제 제조업,2022-02-21,인천광역시,"BIO-FD&C Co.,Ltd.",KOSDAQ,8696,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,,의료기기 의약품 제조업,
한국제10호스팩,409570,금융 지원 서비스업,2022-02-21,서울특별시,"Korea No.10 Special Purpose Acquisition Co., LTD.",KOSDAQ,5410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금융,
IBKS제17호스팩,405350,금융 지원 서비스업,2022-02-18,서울특별시,IBKS No.17 Special Purpose Acquisition Company,KOSDAQ,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금융,
인카금융서비스,211050,보험 및 연금관련 서비스업,2022-02-16,서울특별시,"INCAR FINANCIAL SERVICE Co.,Ltd.",KOSDAQ,5138,,,,,95.46,2742992,39592,,,,,,,,,,,,,,,21000,94373790000,40,852800,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,7,9825.5,금융,
나래나노텍,137080,특수 목적용 기계 제조업,2022-02-08,경기도,NARAE NANOTECH CORPORATION,KOSDAQ,11059,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,,"자동차, 기계, 장치, 장비 제조업",
아셈스,136410,플라스틱제품 제조업,2022-02-07,부산광역시,ASSEMS INC.,KOSDAQ,11019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,화학제품 제조업,
스코넥,276040,소프트웨어 개발 및 공급업,2022-02-04,서울특별시,"SKONEC ENTERTAINMENT Co., Ltd.",KOSDAQ,12072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,정보 통신 소프트웨어 및 공학연구,
이지트로닉스,377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022-02-04,경기도,"EGTRONICS Co., Ltd.",KOSDAQ,7965,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,,"자동차, 기계, 장치, 장비 제조업",
LG에너지솔루션,373220,일차전지 및 축전지 제조업,2022-01-27,서울특별시,LG Energy Solution,KOSPI,234000,,,,,,,,285920,6139,,,,,,,13709636,100000,7133956,8387463,-354339,-102962,,,,,,,,,,,,,,,,,,,,,,기타 제조업,0.034088973
애드바이오텍,179530,의약품 제조업,2022-01-24,강원도,"ADBIOTECH Co.,Ltd.",KOSDAQ,9140,,,,,-30.84,24131740,160041,,,,,,,,,,,,,,,8810,67775717640,4607,41451980,,,,,,,,,,,,,,,,,5937.5,의료기기 의약품 제조업,
케이옥션,102370,상품 중개업,2022-01-24,서울특별시,K Auction Inc.,KOSDAQ,8909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타 서비스업,
코스텍시스템,169670,특수 목적용 기계 제조업,2022-01-21,경기도,Kostek Systems,KONEX,2868,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,"자동차, 기계, 장치, 장비 제조업",
디비금융스팩10호,404950,기타 금융업,2022-01-20,서울특별시,"DB Finance No.10 Special Purpose Acquisition Co., Ltd.",KOSDAQ,5840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금융,
오토앤,353590,자동차 부품 및 내장품 판매업,2022-01-20,경기도,AUTO& Inc.,KOSDAQ,12876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"자동차, 기계, 장치, 장비 제조업",
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",2021-12-30,서울특별시,"RaemongRaein.Co.,Ltd",KOSDAQ,6249,,,,,13.21,14151144,311267,,,,,,,,,,,,,,,24200,1.51E+11,363672,8708744200,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,19681,"영화, 비디오물, 방송",
하나금융20호스팩,400560,금융 지원 서비스업,2021-12-27,서울특별시,Hana Financial Twenty Special Purpose Acquisition Company,KOSDAQ,3050,,,,,,,,,,,,,,,,,,,,,,3750,11437500000,1129823,4061379160,,,,,,,,,,,,,,,,,,금융,
엔에이치스팩22호,396770,금융 지원 서비스업,2021-12-24,서울특별시,NH SPECIAL PURPOSE ACQUISITION 22 COMPANY,KOSDAQ,6440,,,,,,,,,,,,,,,,,,,,,,2150,13846000000,55209,118267560,,,,,,,,,,,,,,,,,,금융,
교보11호스팩,397880,금융 지원 서비스업,2021-12-20,서울특별시,Kyobo 11 Special Purpose Acquisition Company,KOSDAQ,4440,,,,,,,,,,,,,,,,,,,,,,2350,10434000000,2339691,5483176925,,,,,,,,,,,,,,,,,,금융,
하이제7호스팩,400840,금융 지원 서비스업,2021-12-20,서울특별시,HI Special Purpose Acquisition Company VII,KOSDAQ,5120,,,,,,,,,,,,,,,,,,,,,,2115,10828800000,168337,355710395,,,,,,,,,,,,,,,,,,금융,
케이티비네트워크,298870,기타 금융업,2021-12-16,경기도,"KTBnetwork Co., Ltd",KOSDAQ,100000,,,,,,,,,,,,,,,,,,,,,,5160,5.16E+11,574550,2934532700,,,,,,,,,,,,,,,,,,금융,
예스피치,403360,소프트웨어 개발 및 공급업,2021-12-14,서울특별시,YESPEECH,KONEX,2904,,,,,,,,,,,,,,,,,,,,,,9900,28749600000,1172,11641130,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,5,,정보 통신 소프트웨어 및 공학연구,
제이엠멀티,254160,제재 및 목재 가공업,2021-12-13,충청남도,JM-MULTI,KONEX,5160,,,,,,,,,,,,,,,,,,,,,,5340,27554400000,165,767080,,,,,,,,,,,,,,,,,,"건축, 건설, 공사",
신한서부티엔디리츠,404990,부동산 임대 및 공급업,2021-12-10,서울특별시,SHINHAN SEOBU T&D REIT,KOSPI,55956,,,,,,,,,,,,,,,,,,,,,,4980,2.79E+11,160804,800410830,,,,,,,,,,,,,,,,,,기타 서비스업,
툴젠,199800,자연과학 및 공학 연구개발업,2021-12-10,서울특별시,ToolGen Incorporated,KOSDAQ,7852,,,,,-11.63,7406550,663800,,,,,,,,,,,,,,,88600,6.96E+11,52295,4626095400,,,,,,,,,,,,,,,,,78014.5,정보 통신 소프트웨어 및 공학연구,
미래에셋글로벌리츠,396690,부동산 임대 및 공급업,2021-12-03,서울특별시,Mirae Asset Global REIT,KOSPI,29060,,,,,,,,,,1576102,미래에셋글로벌리츠,Y,6811,20210521,,,,,,,,5490,1.60E+11,370281,2018168960,,,,,,,,,,,,,,,,,,기타 서비스업,
대신밸런스제11호스팩,397500,금융 지원 서비스업,2021-12-02,서울특별시,Daishin Balance No.11 Special Purpose Acquisition Company,KOSDAQ,7610,,,,,,,,,,,,,,,,,,,,,,2095,15942950000,101704,213219935,,,,,,,,,,,,,,,,,,금융,
켈스,402420,의료용 기기 제조업,2021-11-30,경기도,CALTH,KONEX,2227,,,,,,,,,,,,,,,,,,,,,,15900,35401986000,205,3257500,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,,의료기기 의약품 제조업,
SK스퀘어,402340,기타 금융업,2021-11-29,서울특별시,SKSQUARE,KOSPI,141468,,,,,,,,,,1596425,SK스퀘어,Y,64992,20211102,,7096262,14147,6915518,0,-8639,-12529,66500,9.41E+12,1123222,74487746100,,,,,,,,,,,,,,,,,,금융,
마인즈랩,377480,소프트웨어 개발 및 공급업,2021-11-23,대전광역시,"MINDS LAB, INC.",KOSDAQ,6079,,,,,,,,,,,,,,,,,,,,,,31350,1.89E+11,160064,5062718600,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,,정보 통신 소프트웨어 및 공학연구,
알비더블유,361570,오디오물 출판 및 원판 녹음업,2021-11-22,서울특별시,RBW Inc.,KOSDAQ,7931,,,,,,,,,,,,,,,,,,,,,,28350,2.25E+11,46341,1303562450,,,,,,,,,,,,,,,,,,"영화, 비디오물, 방송",
NH올원리츠,400760,부동산 임대 및 공급업,2021-11-18,서울특별시,NHALLONEREIT,KOSPI,42200,,,,,,,,,,,,,,,,,,,,,,5200,2.19E+11,171275,891052480,,,,,,,,,,,,,,,,,,기타 서비스업,
바이옵트로,222160,특수 목적용 기계 제조업,2021-11-18,경기도,Bioptro Inc.,KOSDAQ,8144,,,,,102.19,51653174,425791,,,,,,,,,,,,,,,9910,80705712060,170380,1706668910,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,5791.5,"자동차, 기계, 장치, 장비 제조업",
트윔,290090,소프트웨어 개발 및 공급업,2021-11-17,경기도,TWIM Corp,KOSDAQ,7317,,,,,,,,,,,,,,,,,,,,,,28700,2.09E+11,90814,2547142600,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,,정보 통신 소프트웨어 및 공학연구,
아이티아이즈,372800,소프트웨어 개발 및 공급업,2021-11-11,서울특별시,ITEYES Inc.,KOSDAQ,5777,,,,,,,,,,,,,,,,,,,,,,25400,1.47E+11,217326,5566378750,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,8,,정보 통신 소프트웨어 및 공학연구,
지오엘리먼트,311320,전자부품 제조업,2021-11-11,경기도,"GO Element Co., Ltd.",KOSDAQ,6193,,,,,,,,,,,,,,,,,,,,,,37800,2.34E+11,130700,4960461750,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4,,전자부품 및 반도체 제조,
디어유,376300,소프트웨어 개발 및 공급업,2021-11-10,서울특별시,"DEAR U Co.,Ltd.",KOSDAQ,21977,,,,,,,,,,,,,,,,,,,,,,80900,1.78E+12,171917,13875572800,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,,정보 통신 소프트웨어 및 공학연구,
비트나인,357880,소프트웨어 개발 및 공급업,2021-11-10,서울특별시,"Bitnine Co, Ltd.",KOSDAQ,10354,,,,,,,,,,,,,,,,,,,,,,17100,1.77E+11,7457550,1.30E+11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,,정보 통신 소프트웨어 및 공학연구,
지니너스,389030,자연과학 및 공학 연구개발업,2021-11-08,서울특별시,GENINUS Inc.,KOSDAQ,10869,,,,,,,,,,,,,,,,,,,,,,12350,1.34E+11,62717,778294800,,,,,,,,,,,,,,,,,,정보 통신 소프트웨어 및 공학연구,
카카오페이,377300,금융 지원 서비스업,2021-11-03,경기도,kakaopay,KOSPI,132169,,,,,,,,,,,,,,,,761403,11114,189614,245556,-5545,-17218,176500,2.33E+13,238214,41779682000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,,금융,0
피코그램,376180,그외 기타 제품 제조업,2021-11-03,인천광역시,"Picogram Co.,Ltd.",KOSDAQ,3132,,,,,,,,,,,,,,,,,,,,,,20400,62456191200,230677,4771797150,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,5,,기타 제조업,
엔켐,348370,기초 화학물질 제조업,2021-11-01,충청북도,"Enchem Co., Ltd.",KOSDAQ,15213,,,,,,,,,,,,,,,,,,,,,,95400,1.45E+12,147897,14306320000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,화학제품 제조업,
리파인,377450,기타 정보 서비스업,2021-10-29,서울특별시,"REFINE Co., Ltd",KOSDAQ,17330,,,,,,,,,,,,,,,,,,,,,,14400,2.50E+11,34949,502516150,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,,정보 통신 소프트웨어 및 공학연구,
