,corp_code,corp_name,corp_name_eng,stock_name,corp_code,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,phn_no,fax_no,induty_code,est_dt
0,00260985,한빛네트,"HanbitNet, Inc.",한빛네트,00260985,036720,강승환,E,1101111443079,2088124283,서울특별시 종로구 익선동 30-6,www.hanbitnet.com,02-3668-0114,02-3668-0112,58221,19970722
1,00264529,(주)엔플렉스,"Nplex,Inc.",엔플렉스,00264529,040130,이 정 학,E,1101111601750,2208156354,서울특별시 강남구 논현동 98 동익빌딩 2층,www.gamekorea.net,(02) 3453-7111,(02) 3453-7345,58221,19981030
2,00358545,(주)동서정보기술,"Dong Seo Information Technology Co., Ltd.",동서정보기술,00358545,055000,이희봉,E,1101111259525,2208103653,서울특별시 강남구 대치동 997-4 ,http://www.dsit.co.kr,02-565-4510 (220),02-3453-4552,58221,19960410
3,00231567,주식회사 애드모바일,,애드모바일,00231567,032600,김용석,E,1101111166837,1208151156,서울특별시 강서구 가양동 1458-9 동남빌딩 2층,www.kdline.co.kr,02-518-0101 (변광섭),02-518-0133,58221,19950614
4,00247939,(주)씨모스,"creative master of semiconductor. co.,ltd",씨모스,00247939,037600,유인엽,E,1201110118077,1398120545,인천광역시 남동구 고잔동 685-6,www.cmos21.co.kr,032-814-0981-4,032-814-0985,29294,19950509
5,00359614,(주)리더컴,"LEADER COMM.Co.,Ltd",리더컴,00359614,056140,박문기,E,1101111571755,2208153788,경기도 화성시 장안면 수촌리 877-23,http://leadercomm.co.kr,031-351-3751,031-351-3750,26410,19980801
6,00153551,(주)허메스홀딩스,"Hermesholdings Co.,LTD",허메스홀딩스,00153551,012400,김광선,E,1101110216047,1198105220,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-28 ,www.hermesholdings.co.kr,02-2071-0900,02-2071-0901,26429,19770705
7,00344746,(주)유티엑스,"UTX CO.,LTD.",유티엑스,00344746,045880,이성암,E,1201110163250,1398134831,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 13층 ,www.i-utx.com,02-2103-3000,02-2103-3100,26410,19971212
8,00261188,(주)글로포스트,"Glopost CO., Ltd.",글로포스트,00261188,037830,문원호,E,1101111569958,2148624959,서울특별시 서초구 잠원동 28-1 ,www.glopost.co.kr,02-2106-7500,025110877,58221,19980728
9,00268020,(주)쏠라엔텍,"SOLAR &amp; TECH CO., LTD.",쏠라엔텍,00268020,030390,"김 재 철, 이 동 화 (각자대표)",E,1101110191900,1168120163,"서울특별시 서초구 서초동 1677-14 케이비빌딩 4,5층 ",www.dubank.co.kr,02-525-1110,02-525-2420,46599,19760216
10,00269287,(주)보홍,"Bohong Co.,Ltd.",보홍,00269287,041320,이근욱,E,1101110990980,1058161543,서울특별시 강남구 논현동 251 ,www.bohongcorp.com,02-3496-4400,02-521-0594,46521,19931206
11,00475286,동북아1호선박투자회사,DongBukaNO1ShipInvst,동북아1호선박투자회사,00475286,078420,김연신,E,1801110473809,6078167664,부산광역시 사상구 모라동 795-22,-,02-746-7000,02-746-7006,71531,20040116
12,00250775,에듀아크,"EDU ARK Co., Ltd.",에듀아크,00250775,046350,한데이브경환,E,1201110063868,1378101130,인천광역시 서구 가좌동 178-196 ,edu-ark.com,02-798-5910,027985922,2622,19910114
13,00114321,(주)데코,Deco,데코,00114321,013650,박성경,E,1101110242985,2148107256,서울특별시 송파구 오금동 24-2번지 ,www.deco.co.kr,02-2145-1372,02  -2145-1367,14112,19781209
14,00191108,(주)엘앤씨피,"L&amp;CP CO.,Ltd",엘앤씨피,00191108,015390,최형석,E,1201110038697,1228116626,충청북도 충주시 주덕읍 당우리 822-13 ,www.kysys.co.kr,02-337-9090,032-548-3916,20491,19810309
15,00167378,(주)희훈디앤지,HEEHOON DESIGN &amp; GLOBAL.CO.LTD,희훈디앤지,00167378,019640,"김재혁, 허  헌",E,1101110513609,1118110864,서울특별시 강남구 논현동 66-11 ,www.heehoon.co.kr,02-512-2081,02  -337 -6324,42,19861217
16,00225210,(주)퓨쳐인포넷,"Future Infonet, Inc.",퓨쳐인포넷,00225210,058690,류원기,E,1101110828933,2118643393,"서울특별시 강남구 대치동 1001-13,14,15 ",www.futureinfonet.com,(02)3441-5300,(02)517-8610,58221,19920113
17,00223346,(주)쓰리디넷,"3D NET Co.,Ltd.",쓰리디넷,00223346,035400,민봉기,E,1101110829501,2148607080,서울특별시 강남구 개포동 1228-1 세영빌딩 5층,vsst.com,070-7435-8500,02-804-2399,58221,19920115
