corp_code,corp_name,stock_code,modify_date,ss,,,new_corp_code,,,
260985,한빛네트,36720,20170630,6,00,0,00260985,,,
264529,엔플렉스,40130,20170630,6,00,0,00264529,,,
358545,동서정보기술,55000,20170630,6,00,0,00358545,,,
231567,애드모바일,32600,20170630,6,00,0,00231567,,,
247939,씨모스,37600,20170630,6,00,0,00247939,,,
359614,리더컴,56140,20170630,6,00,0,00359614,,,
153551,허메스홀딩스,12400,20170630,6,00,0,00153551,,,
344746,유티엑스,45880,20170630,6,00,0,00344746,,,
261188,글로포스트,37830,20170630,6,00,0,00261188,,,
268020,쏠라엔텍,30390,20170630,6,00,0,00268020,,,
269287,보홍,41320,20170630,6,00,0,00269287,,,
475286,동북아1호선박투자회사,78420,20170630,6,00,0,00475286,,,
250775,에듀아크,46350,20170630,6,00,0,00250775,,,
114321,데코,13650,20170630,6,00,0,00114321,,,
191108,엘앤씨피,15390,20170630,6,00,0,00191108,,,
167378,희훈디앤지,19640,20170630,6,00,0,00167378,,,
225210,퓨쳐인포넷,58690,20170630,6,00,0,00225210,,,
223346,쓰리디넷,35400,20170630,6,00,0,00223346,,,
174129,제일저축은행,24100,20170630,6,00,0,00174129,,,
114826,제일창업투자,26540,20170630,6,00,0,00114826,,,
173333,현대DSF,16510,20170630,6,00,0,00173333,,,
687599,네프로아이티,950030,20170630,6,00,0,00687599,,,
256292,자강,36790,20170630,6,00,0,00256292,,,
271431,케이엠에스,38830,20170630,6,00,0,00271431,,,
154727,에버리소스,20070,20170630,6,00,0,00154727,,,
246189,제이에스,37110,20170630,6,00,0,00246189,,,
154204,태창기업,7490,20170630,6,00,0,00154204,,,
152631,에이치비이에너지,17300,20170630,6,00,0,00152631,,,
107923,남한제지,1950,20170630,6,00,0,00107923,,,
358095,코어비트,56850,20170630,6,00,0,00358095,,,
510215,동북아8호선박투자회사,82110,20170630,6,00,0,00510215,,,
347619,한국통신데이타,45760,20170630,6,00,0,00347619,,,
372013,케너텍,62730,20170630,6,00,0,00372013,,,
353735,다휘,55250,20170630,6,00,0,00353735,,,
186540,코오롱아이넷,22520,20170630,6,00,0,00186540,,,
128759,캠브리지코오롱,4620,20170630,6,00,0,00128759,,,
535588,네오세미테크,89240,20170630,6,00,0,00535588,,,
264981,디에이치패션,45260,20170630,6,00,0,00264981,,,
231521,핸디소프트,32380,20170630,6,00,0,00231521,,,
