,Unnamed: 0	,rcept_no,new_corp_code,dcm_no
0,0,20210316000210,00956028,7877340
1,1,20210324000788,01245062,7915616
2,2,20201130000858,01394377,7596342
3,3,20210322000704,00539274,7904662
4,4,20210318001184,00796994,7893443
5,5,20210318001183,00191472,7893433
6,6,20210318000260,01325979,7888489
7,7,20200629000481,01041828,7392078
8,8,20210318001249,01416235,7893835
9,9,20210322001012,00159698,7906418
10,10,20210318001301,00628189,7894210
11,11,20210720000251,01511558,8148727
12,12,20210311000742,00646732,7867256
13,13,20210316000282,00115065,7877550
14,14,20210323000713,00458234,7910445
15,15,20210218000003,00164706,7807996
16,16,20210322000649,00625942,7904318
17,17,20210315000724,00124276,7875198
18,18,20210318000961,01009789,7892072
19,19,20210315000733,00656951,7875236
20,20,20210331000615,00102113,7935270
21,21,20210326001276,00133618,7923151
22,22,20220318001096,00168331,8479605
23,23,20210318001136,00153755,7893118
24,24,20210319001280,00612294,7900843
25,25,20210311000765,00407285,7867358
26,26,20210317000465,00129509,7883135
27,27,20210322001112,00305570,7907067
28,28,20210317000257,00287788,7882376
29,29,20210317000934,00191287,7885583
30,30,20210319001327,00185505,7901112
31,31,20210323000375,00652423,7908842
32,32,20210311001074,00144650,7868609
33,33,20210419000439,00186799,8033792
34,34,20210316000605,00356802,7878749
35,35,20210318000429,00210856,7889145
36,36,20210318001061,01108099,7892654
37,37,20210322001161,00573579,7907490
38,38,20210701000250,00140177,8128838
39,39,20210317001286,00366137,7887473
40,40,20210323000841,00349097,7911141
41,41,20210323000513,00542074,7909516
42,42,20210630000972,00389970,8128037
43,43,20201229000327,00168401,7738615
44,44,20210315001021,00117629,7876357
45,45,20210319001358,00484682,7901271
46,46,20210707000520,00492894,8136204
47,47,20210318001321,00173351,7894333
48,48,20200928000403,00134316,7495995
49,49,20210323001172,00138297,7913091
50,50,20210319000749,00371740,7898015
51,51,20210318000062,00127802,7887908
52,52,20210416000120,00573269,8031156
53,53,20210316000712,00223513,7879215
54,54,20210319000854,00220109,7898525
55,55,20210310000273,00123107,7861897
56,56,20210318001196,00441304,7893523
57,57,20210323000884,00985686,7911393
58,58,20210325000002,00219440,7916189
59,59,20210316001139,00141389,7880914
60,60,20210316000817,00410915,7879587
61,61,20210707000536,00392691,8136248
62,62,20210323000575,00104999,7909794
63,63,20210317001211,00178851,7887159
64,64,20210319000307,01089855,7896100
65,65,20210303000280,00923792,7850206
66,66,20210319000002,00133812,7895241
67,67,20210317000288,00479787,7882457
68,68,20210329000647,00136776,7925536
69,69,20210318000858,00563837,7891431
70,70,20210319001209,00172945,7900370
71,71,20210319001097,00158219,7899771
72,72,20210318001311,00115977,7894276
73,73,20210322000506,00152783,7903671
74,74,20210322000580,00359623,7904016
75,75,20210817000623,00400857,8178377
76,76,20210318000935,00372226,7891915
77,77,20210323001007,00532855,7912047
78,78,20210218001086,00134477,7810110
79,79,20210603000195,00620558,8098044
80,80,20210330000968,00528515,7930652
81,81,20210318000688,00174527,7890473
82,82,20210323000609,00351092,7909957
83,83,20210311001051,00142661,7868507
84,84,20210311000638,00133991,7866886
85,85,20210317000661,00152039,7884041
86,86,20210318001420,00146427,7895013
87,87,20210319001037,00763358,7899454
88,88,20210318001225,00155531,7893704
89,89,20210319000800,00569646,7898310
90,90,20210618000411,00608802,8114450
91,91,20210322000476,00172228,7903497
92,92,20210818000238,00124090,8185173
93,93,20210318000635,00855093,7890165
94,94,20210318000733,00128412,7890691
95,95,20210319000859,00243979,7898563
96,96,20210329001068,01144569,7926935
97,97,20210322000601,00616962,7903940
98,98,20210326001259,00145686,7923112
99,99,20210323000882,00378628,7911355
100,100,20210315000552,00128546,7874654
101,101,20200629000177,00490090,7391130
102,102,20210311001031,00115676,7868419
103,103,20210319001375,00180865,7901373
104,104,20210322000753,00370006,7904970
105,105,20210322000357,00300557,7902884
106,106,20210322000424,00176835,7903258
107,107,20210323000543,00141556,7909648
108,108,20210322000475,00148948,7903488
109,109,20210317001280,00121507,7887609
110,110,20210817001693,00325112,8182137
111,111,20210318001263,00476498,7893926
112,112,20210319000370,00549891,7896384
113,113,20210311000965,00126478,7868162
114,114,20210826000406,00656021,8194699
115,115,20210317000792,01096341,7884749
116,116,20210319001017,00134510,7899355
117,117,20210318001289,00823429,7894112
118,118,20210319000003,00695969,7895249
119,119,20210311001209,00138729,7869186
120,120,20210315000915,00120526,7875901
121,121,20210406000396,00501970,7972564
122,122,20210322001090,00132211,7906904
123,123,20210317000302,00250997,7882521
124,124,20210426000388,00204226,8042402
125,125,20210319000116,00250614,7895473
126,126,20210322001004,00405959,7906373
127,127,20210308000592,00160375,7858452
128,128,20210318001155,00121941,7893239
129,129,20210317000510,00124726,7883322
130,130,20210322000825,00445160,7905400
131,131,20210323000920,00408956,7911590
132,132,20210311001060,00260383,7868550
133,133,20210315000793,00181299,7875462
134,134,20210318001200,00939331,7893553
135,135,20210323001022,00363510,7912145
136,136,20210322001125,00288495,7907195
137,137,20210317001103,00264228,7886508
138,138,20210319001221,00317210,7900459
139,139,20210311001124,00201742,7868776
140,140,20210318000734,00147082,7890700
141,141,20210713000094,00188715,8141116
142,142,20210405002921,00103592,7970529
143,143,20210311000698,00173944,7866301
144,144,20210318000420,00138446,7888978
145,145,20210330000569,00256043,7929315
146,146,20210331002863,00406046,7942692
147,147,20210315000907,00414850,7875879
148,148,20210322000395,00132992,7903081
149,149,20210504000182,00390860,8055517
150,150,20210315001013,00105475,7876303
151,151,20210318001309,00974927,7894258
152,152,20210315000267,00993931,7873730
153,153,20210331002661,00809429,7941851
