종목코드,한글 종목약명,영문 종목명,상장일,시장구분,상장주식수,ESG등급,환경,사회,지배구조,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금,온실가스 배출량(tCO2-eq),에너지 사용량(TJ)
98120,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008-09-23,KOSDAQ,8313,,,,,5070,10400,5330,105.13,42422245,417170,,
131100,스카이이앤엠,"SKY E&M Co., Ltd.",2011-06-14,KOSDAQ,11643,,,,,8325,3155,-5170,-62.1,209544721,339236,,
9520,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997-11-10,KOSDAQ,41643,B,D,B+,A,9040,7410,-1630,-18.03,571379928,5186977,,
95570,AJ네트웍스,"AJ Networks Co.,Ltd.",2015-08-21,KOSPI,46822,B,D,B,B,3920,5670,1750,44.64,41975079,242242,,
6840,AK홀딩스,"AK Holdings, Inc.",1999-08-11,KOSPI,13248,B+,B,B+,B+,28650,21350,-7300,-25.48,11231260,313447,,
282330,BGF리테일,BGF Retail,2017-12-08,KOSPI,17284,A,A,A+,A,171000,175000,4000,2.34,8465831,1406729,,
27410,BGF,BGF,2014-05-19,KOSPI,95717,A,A,A+,A,5850,5230,-620,-10.6,106484631,696960,,
138930,BNK금융지주,BNK Financial Group Inc.,2011-03-30,KOSPI,325935,A+,A,A+,A+,6450,7600,1150,17.83,374101498,2966605,,
1465,BYC우,BYC(1P),1989-09-05,KOSPI,215,,,,,157000,178000,21000,13.38,61697,10972,,
1460,BYC,BYC,1975-06-02,KOSPI,625,B,D,B,B+,363000,454000,91000,25.07,207144,93215,,
1045,CJ우,CJ(1P),1989-08-18,KOSPI,2260,,,,,53000,49000,-4000,-7.55,800541,46537,,
00104K,CJ4우(전환),CJ(4PC),2019-08-09,KOSPI,4227,,,,,71000,71300,300,0.42,1989053,158227,,
1040,CJ,CJ Corp.,1973-06-29,KOSPI,29177,A,B+,A+,A,92800,81000,-11800,-12.72,20859713,2057525,,
11155,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990-01-13,KOSPI,200,,,,,33950,39700,5750,16.94,234753,9791,,
11150,CJ씨푸드,CJSEAFOODCORPORATION,1988-11-26,KOSPI,35931,B,C,B+,B+,4330,3850,-480,-11.09,138279124,637637,,
58820,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001-08-31,KOSDAQ,138892,C,D,C,C,4240,3340,-900,-21.23,290583478,1340670,,
590,CS홀딩스,CSHOLDINGS,1975-12-22,KOSPI,1154,B,D,C,B+,59000,68300,9300,15.76,1438605,111608,,
12030,DB,DB Inc.,1993-01-06,KOSPI,201174,B,D,B+,B+,818,902,84,10.27,480458490,542106,,
16610,DB금융투자,"DB Financial Investment Co., LTD.",1988-06-27,KOSPI,42446,B,D,B+,B,5700,6370,670,11.75,38741265,264563,,
5830,DB손해보험,DB INSURANCE,1973-06-28,KOSPI,70800,A,A,A+,B+,44500,57600,13100,29.44,43426663,2404867,,
995,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007-05-21,KOSPI,112,,,,,92000,95000,3000,3.26,206771,24045,,
990,DB하이텍,"DB HiTek Co.,LTD",1975-12-12,KOSPI,44399,A,A,A,A,50100,69900,19800,39.52,258755936,16550099,,
139130,DGB금융지주,DGB Financial Group,2011-06-07,KOSPI,169146,A+,A,A+,A+,7720,9080,1360,17.62,157202624,1442274,,
1530,DI동일,DI DONGIL,1964-01-04,KOSPI,2511,C,D,C,B+,145394,249000,103606,71.26,5503645,1490289,,
215,DL우,DL(1P),1989-08-21,KOSPI,1686,,,,,38650,36950,-1700,-4.4,1686381,80473,,
1880,DL건설,DLConstruction,1977-12-22,KOSPI,22053,B+,B+,A,B+,30500,29950,-550,-1.8,12960974,435776,,
210,DL,DL,1976-02-02,KOSPI,20956,A,A+,A+,B+,74400,59200,-15200,-20.43,37710878,3006841,,
37550K,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021-01-25,KOSPI,2114,,,,,69300,70100,800,1.15,2332236,177670,,
375500,DL이앤씨,"DL E&C CO., LTD.",2021-01-25,KOSPI,19359,,,,,112000,134000,22000,19.64,44061472,5757034,,
155660,DSR,DSR CORP,2013-05-15,KOSPI,16000,B,B,B,B,5150,5680,530,10.29,105762525,947489,,
69730,DSR제강,DSRWIRECORP,2003-01-28,KOSPI,14400,C,C,C,B+,5170,4740,-430,-8.32,131521725,1089326,,
17940,E1,E1Corporation,1997-08-27,KOSPI,6860,B+,B+,A,B+,40600,45850,5250,12.93,5288309,283385,,
365550,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020-12-23,KOSPI,213089,,,,,5735,6730,995,17.35,82495474,548286,,
