,상장주식수,등락률,거래량_x,거래대금_x,온실가스 배출량(tCO2-eq),에너지 사용량(TJ),자산총계,자본금,자본총계,매출액,영업이익,순이익,종가,시가총액,거래량_y,거래대금_y,기준가&종가 평균,온실가스/매출액,상장기간,회사명,업종,지역,시장구분,ESG등급,환경,사회,지배구조
89,0.004839591068040406,0.044120909474490086,0.003253702117094902,0.010860106597762193,0.0011372230816204254,0.003696157563409346,0.0012342495403439044,0.0031088591313897804,0.0016128013399026812,0.0015112741036114074,0.053725338783529364,0.05918134683229141,0.049637681159420285,0.003430120677202452,0.005023790874789668,0.009753391028037383,0.03494824016563147,0.02621411941921212,0.008833409364243355,149,152,16,2,3,3,2,3
97,0.0029311615119077495,0.03141923781270255,0.0028077841929466333,0.009054788183074675,0.0010478098996990518,0.004067079382493535,0.0012912928383121314,0.0017968593082886327,0.0016083391664690051,0.004093370084578713,0.05200832187227362,0.0580451301398235,0.05172101449275362,0.002193443533901948,0.008229537448552388,0.016548104485981308,0.03867494824016563,0.0,0.010243437150085017,1426,93,8,2,4,4,2,2
275,0.003417147655020533,0.015959737440787155,0.0030461143541290607,0.012056097894178771,0.0003079376241696491,0.0012512081080375101,0.0003117729549730502,0.002089617695781884,0.00015122730242623226,0.0,0.05060521481107789,0.05671446045931816,0.05371376811594203,0.0025985619084314235,0.006805387383933929,0.013961658878504672,0.047888198757763976,0.0,0.03367478123833617,684,122,8,1,4,5,4,3
287,0.012685561772172511,0.027821880804381208,0.011267062618543997,0.006055454603939069,0.0003079376241696491,0.0012512081080375101,0.0007173613696158587,0.0014601065447047356,0.0010027259479624751,0.0003902130972633292,0.05168311624842508,0.05742113330172406,0.006141304347826087,0.0010996239226723644,0.003776797093404472,0.0009054640560747663,0.006008281573498965,0.0,0.034504209347654795,1963,79,8,1,2,5,4,3
291,0.0013624699420669675,0.02322839954587174,0.002690577362929178,0.0049511294824342075,0.00028011989612582833,0.0010722775122116866,0.004695072756864591,0.00974152958541174,0.005405669464668549,0.007237753811796913,0.053201226738822056,0.058791892929825715,0.02056159420289855,0.0004130548879434639,0.000848833257198531,0.0006795023831775701,0.019440993788819878,0.002161763219962711,0.03467009496951852,1015,116,10,2,2,5,2,3
295,0.0009902323653704467,0.07140340422200087,0.0035851802589948263,0.0034666426799376923,0.0008850332416564095,0.00267089830995481,0.04168969544343915,0.10533128916881494,0.009775105268339607,0.0037636141593841,0.06119454319846328,0.062419104756463756,0.010235507246376811,0.00015118722352839943,0.00030211637895822624,0.0001204606074766355,0.00901863354037267,0.0,0.03487745199684818,1965,25,8,1,4,5,3,4
296,0.001796356226335189,0.02859181090168819,0.0015395725028160615,0.002711230005896086,0.0003488382741913238,0.0013818143823629285,0.001309328527017861,0.00476935890750217,0.0012560655858326678,0.0018372451975635598,0.05241719330617782,0.05841440208689332,0.019202898550724636,0.0005026073707341901,0.0005930930064956602,0.0004477513551401869,0.021966873706004142,0.0026703627110703414,0.03491892340231411,2397,58,1,2,0,0,1,3
299,0.03156849389191977,0.040640999430164734,0.014535378850210483,0.016953838877930925,0.0007083477195918567,0.0028798683488754796,0.010582529983286728,0.2173025044086511,0.011673765240904074,0.010460858023745861,0.055500139062537944,0.06122955656195427,0.01526268115942029,0.006777677771998644,0.0391872226682512,0.02311663789719626,0.013475776397515528,0.0,0.035167751835109694,2368,131,3,2,0,3,0,0
301,0.0037954160835447204,0.03328098968641661,0.0009124811523906534,0.0026447035231768512,0.0007083477195918567,0.0028798683488754796,0.0016183988449032303,0.0023899772058457703,0.0013989431368105017,0.002445791992333414,0.052144434464040296,0.058019347159099066,0.03840579710144927,0.00208683343534156,0.0010052374739552348,0.0015053446261682243,0.0320703933747412,0.0,0.035416580267905284,1216,131,16,1,3,3,0,3
303,0.006417161391960808,0.03952742821598062,0.002209455632249837,0.0014820693343883945,0.000770081931732811,0.0012107201629966303,0.0046768306355772895,0.005298673442875491,0.003256190826927858,0.0032621891028350412,0.05345533717751345,0.06098947348170205,0.008405797101449276,0.0007648682131927452,0.0023296301428716573,0.0007666276074766355,0.008047204968944099,0.0,0.03545805167337121,1759,63,8,2,2,4,2,3
309,0.002566965070981451,0.03591267165743765,0.0011137218427924563,0.006117465625110303,0.0010478098996990518,0.004067079382493535,0.0016571239674751561,0.0015464829375528625,0.0018123412463387726,0.001668014178398371,0.05215522622692487,0.0579181634189243,0.07047101449275361,0.0026198839281435012,0.0020340975413488875,0.005541816542056074,0.06679089026915114,0.0,0.035748351511632734,1841,2,1,2,4,5,4,3
316,0.010891885924427396,0.035395035038344264,0.010882142591553044,0.033945448224886265,0.0005964953442175579,0.002426664576966277,0.002095910000696492,0.0016118986590698437,0.002579027537423335,0.0023121463970722025,0.052248171767153254,0.05766511274742224,0.043478260869565216,0.006692389693150333,0.007151878422807133,0.01219832953271028,0.03559006211180124,0.0,0.03624600837722391,551,129,13,2,3,2,0,0
318,0.005044640030181063,0.057866554149575235,0.0056933461105130026,0.02495940967299538,0.0007083477195918567,0.0028798683488754796,0.0006234454098734933,0.0006389549700285433,0.0007212777233813069,0.0006731192198561658,0.05236130739123986,0.05760438423910435,0.07889492753623188,0.005668932746970606,0.0070024003399125284,0.021711713644859812,0.04250517598343685,0.0,0.03624600837722391,1033,131,13,2,2,5,2,3
319,0.002993982885112608,0.05211600280132759,0.004456820389840155,0.0165080498542657,0.0007766366077944428,0.0029961079330251025,0.0016385205891701045,0.018597182885773094,0.0022685234201702134,0.00014353321656261175,0.051522307122364865,0.05616345959262037,0.05407608695652174,0.002321375652174414,0.026700246038396276,0.05506217411214953,0.04453416149068323,0.0,0.03624600837722391,1798,94,8,2,4,5,2,4
361,0.012896976633464594,0.026482115437315948,0.005159631408115758,0.05008710345087413,0.030011839780088506,0.03732988532769114,0.010166188060874947,0.00864823478900205,0.011993990891461654,0.009710014590874887,0.05505219195972752,0.060859340963878,0.129981884057971,0.023664717383964147,0.004339815404574967,0.022108318691588785,0.10186335403726708,0.10767269541044963,0.04213494795338614,2154,51,3,2,0,0,1,3
